word,count
濃厚,801
しっとり,741
ふわふわ,244
ふんわり,27
しっかり,18
ふわっ,11
とろける,11
ふっくら,11
ずっしり,10
どっしり,9
でこぼこ,10
パサパサ,7
分離,5
なめらか,4
柔らかい,3
弾力,3
ボソボソ,3
こってり,3
ぐちゃぐちゃ,3
まったり,3
もちもち,4
強い,2
トロトロ,2
パリッ,2
緩い,2
ふかふか,2
固い,2
口どけ,2
とろっ,2
口当たり,1
ぐずぐず,1
ぐちゃっ,1
ぐにゃぐにゃ,1
ざっくり,1
ぶつぶつ,1
ほろほろ,1
ほわほわ,2
ぼろぼろ,3
むっちり,1
もっちり,2
ゆるい,1
ゴム,1
サクサク,1
ジューシー,1
ズルッ,1
パサッ,1
プチプチ,1
プルプル,1
滑らか,1
軽い,1
がっしり,1
細かい,1
重い,1
薄い,1
