word,count
濃厚,353
しっとり,105
サクサク,10
ずっしり,9
しっかり,5
ぎっしり,4
カリカリ,3
カリッ,3
分離,3
さっくり,2
こってり,2
ぼろぼろ,1
まったり,1
まろやか,1
柔らかい,1
サクッ,1
モッチリ,1
どっしり,1
ねっとり,1
ふわふわ,1
ふっくら,1
ふんわり,1
