word,count
全部,17
たべる,17
ごく,17
トッピング,17
丸,17
ドキドキ,17
いちご,17
そして,17
完売,17
アーモンド,17
無し,17
下,17
ハロウィン,17
しかも,17
毎度,17
鉄板,17
いまいち,16
さらに,16
いし,16
いれる,16
合格,16
予行,16
はさむ,16
無事,16
少ない,16
まさに,16
ほん,16
き,16
遅れ,16
仕上がる,16
言葉,16
親切,16
お正月,16
プロ,16
手間,16
コツ,16
仕上がり,16
女子,16
今月,16
差し入れ,16
以前,15
出会える,15
だんな,15
もつ,15
卒業,15
したう,15
大きい,15
まっ,15
最強,15
クリ,15
保存,15
シンプル,15
板,15
自宅,15
ムース,15
好物,15
やばい,15
いかる,15
前日,15
多い,15
こども,15
相方,15
プレ,15
かわり,15
沢山,14
持参,14
ほとんど,14
凸凹,14
よく,14
顔,14
同僚,14
変わる,14
ずーっと,14
ほめる,14
夫婦,14
不恰好,14
更に,14
仕様,14
二つ,14
万,14
嫁,14
焼き,14
イベント,14
お裾分け,14
四,14
バッチリ,14
バター,14
ご馳走,13
見える,13
しつこい,13
ふくらむ,13
甲斐,13
ちょ,13
緩い,13
よろこぶ,13
遅れる,13
驚き,13
祭り,13
器,13
デザート,13
特別,13
持ち寄り,13
ついに,13
十,13
リッチ,13
不足,13
なれる,13
毎日,13
コーヒー,13
勝負,13
かな,13
ダーリン,13
トリュフ,13
一気に,13
不格好,13
や,13
おい,13
冷凍,13
のり,13
自信,13
不細工,13
途中,13
まま,13
飾り,12
変,12
っぽい,12
金粉,12
本日,12
一足,12
近所,12
っす,12
ひな祭り,12
お客様,12
つき,12
すき,12
込める,12
どうも,12
解る,12
以外,12
半量,12
出せる,12
入れ忘れる,12
柔らかい,12
反応,12
硬い,12
おもてなし,12
中身,12
驚く,12
胡桃,12
止まる,12
苦戦,12
送る,12
親戚,12
贅沢,12
ブランデー,12
すいません,12
ふっくら,11
うん,11
添える,11
普段,11
気分,11
帰る,11
ミニ,11
有り難い,11
ふわっ,11
試食,11
より,11
落ちる,11
付ける,11
９,11
待てる,11
週間,11
断然,11
独り占め,11
違う,11
大事,11
やみつく,11
あっさり,11
たのしむ,11
サマ,11
それ,11
楽しむ,11
細かい,11
貰う,11
完璧,11
い,11
還暦,11
高,11
割れる,11
縮む,11
はり,11
とりこ,11
入る,11
たより,11
させる,10
そ,10
出産,10
横,10
親,10
わたし,10
友だち,10
負ける,10
はず,10
四角い,10
バイト,10
こっち,10
カップ,10
ワン,10
共,10
今更,10
重ねる,10
雛,10
特に,10
思わず,10
聞く,10
絶妙,10
誰,10
飾り付ける,10
オレンジ,10
贈り物,10
上がる,10
くん,10
手,10
リ,10
ぴったり,10
あんまり,10
かわいい,10
切れる,10
ジャム,10
ちょうど,10
